"submission_date","state","tot_cases","new_case","tot_death","new_death"
2021-08-04,"AK","73584","327.0","385","1.0"
2022-01-13,"AK","167008","0.0","953","0.0"
2022-02-02,"AK","213606","4042.0","1060","8.0"
2022-02-14,"AK","226276","1815.0","1081","0.0"
2020-10-08,"AK","9048","134.0","78","1.0"
2020-09-04,"AK","5595","119.0","55","2.0"
2020-08-04,"AK","3393","60.0","37","1.0"
2020-03-27,"AK","74","11.0","3","0.0"
2021-07-06,"AK","68634","39.0","370","0.0"
2022-05-16,"AK","247865","0.0","1235","0.0"
2022-02-12,"AK","224461","0.0","1081","0.0"
2021-10-28,"AK","131848","792.0","695","5.0"
2020-12-11,"AK","39032","597.0","248","1.0"
2021-04-21,"AK","64007","213.0","341","0.0"
2021-06-04,"AK","67648","57.0","362","0.0"
2020-12-17,"AK","41847","360.0","265","2.0"
2021-01-04,"AK","46912","214.0","290","1.0"
2020-12-07,"AK","36696","555.0","233","3.0"
2022-02-05,"AK","217366","0.0","1060","0.0"
2021-05-23,"AK","67167","30.0","362","0.0"
2022-04-26,"AK","243466","0.0","1215","0.0"
2020-09-11,"AK","6112","89.0","58","0.0"
2020-06-10,"AK","598","20.0","15","0.0"
2021-12-21,"AK","149591","0.0","915","0.0"
2020-06-29,"AK","908","21.0","17","0.0"
2021-12-09,"AK","147535","0.0","856","0.0"
2021-03-24,"AK","59443","210.0","335","2.0"
2020-06-13,"AK","656","26.0","15","0.0"
2021-11-19,"AK","142717","514.0","832","20.0"
2021-06-26,"AK","68245","27.0","367","0.0"
2022-04-08,"AK","240674","0.0","1195","0.0"
2021-02-13,"AK","54488","94.0","311","1.0"
2020-02-02,"AK","0","0.0","0","0.0"
2022-05-12,"AK","247865","0.0","1235","0.0"
2020-10-21,"AK","11682","224.0","95","2.0"
2022-04-15,"AK","241959","0.0","1202","0.0"
2021-06-15,"AK","67910","25.0","366","0.0"
2021-03-15,"AK","58212","95.0","331","0.0"
2021-11-13,"AK","139835","0.0","801","0.0"
2020-09-26,"AK","7440","119.0","68","0.0"
2020-01-24,"AK","0","0.0","0","0.0"
2020-05-06,"AK","372","1.0","10","0.0"
2022-03-09,"AK","234865","541.0","1168","10.0"
2020-01-30,"AK","0","0.0","0","0.0"
2021-11-12,"AK","139835","852.0","801","0.0"
2022-03-15,"AK","236001","0.0","1168","0.0"
2022-03-12,"AK","235505","0.0","1168","0.0"
2021-06-10,"AK","67793","30.0","362","0.0"
2021-07-01,"AK","68428","49.0","370","0.0"
2020-12-30,"AK","45399","366.0","278","2.0"
2020-05-29,"AK","432","5.0","11","0.0"
2021-09-25,"AK","104400","1287.0","520","6.0"
2020-10-07,"AK","8914","122.0","77","2.0"
2020-02-03,"AK","0","0.0","0","0.0"
2022-02-13,"AK","224461","0.0","1081","0.0"
2021-01-06,"AK","47461","340.0","293","3.0"
2021-02-06,"AK","53557","124.0","309","1.0"
2021-05-21,"AK","67107","64.0","362","0.0"
2022-02-25,"AK","230848","862.0","1130","0.0"
2022-03-25,"AK","238420","537.0","1189","0.0"
2020-10-05,"AK","8646","195.0","75","1.0"
2022-03-18,"AK","236965","494.0","1169","0.0"
2022-04-23,"AK","243466","0.0","1215","0.0"
2020-07-30,"AK","2887","84.0","33","0.0"
2020-07-22,"AK","2138","94.0","30","2.0"
2020-03-17,"AK","3","2.0","1","1.0"
2020-03-18,"AK","8","5.0","1","0.0"
2021-11-26,"AK","144692","619.0","847","7.0"
2020-10-14,"AK","10218","156.0","88","2.0"
2021-12-12,"AK","147975","0.0","856","0.0"
2020-03-07,"AK","0","0.0","0","0.0"
2020-04-08,"AK","226","13.0","8","1.0"
2021-11-24,"AK","144073","475.0","840","6.0"
2020-04-24,"AK","339","2.0","9","0.0"
2020-06-27,"AK","858","19.0","17","0.0"
2020-04-12,"AK","272","15.0","9","0.0"
2020-12-21,"AK","42987","148.0","269","1.0"
2021-11-25,"AK","144073","0.0","840","0.0"
2020-12-02,"AK","33027","695.0","214","6.0"
2022-03-11,"AK","235505","640.0","1168","0.0"
2021-05-05,"AK","65908","146.0","342","0.0"
2020-06-04,"AK","518","10.0","14","0.0"
2021-12-14,"AK","148380","0.0","857","0.0"
2020-10-13,"AK","10062","158.0","86","3.0"
2022-03-19,"AK","236965","0.0","1169","0.0"
2020-09-24,"AK","7195","131.0","66","2.0"
2020-01-31,"AK","0","0.0","0","0.0"
2021-12-18,"AK","149173","0.0","915","0.0"
2020-09-10,"AK","6023","114.0","58","0.0"
2021-10-05,"AK","113857","820.0","561","3.0"
2022-01-14,"AK","172329","5321.0","955","2.0"
2021-06-20,"AK","68031","26.0","366","0.0"
2020-05-10,"AK","379","1.0","10","0.0"
2021-09-08,"AK","89466","808.0","442","5.0"
2020-09-29,"AK","7788","124.0","68","0.0"
2021-07-20,"AK","70109","218.0","374","0.0"
2020-06-22,"AK","767","6.0","16","0.0"
2020-12-06,"AK","36141","692.0","230","1.0"
2022-02-24,"AK","229986","0.0","1130","0.0"
2022-01-01,"AK","151583","0.0","947","0.0"
2020-11-02,"AK","16108","351.0","120","4.0"
2021-02-27,"AK","56212","160.0","323","1.0"
2020-12-28,"AK","44826","124.0","274","1.0"
2021-01-19,"AK","50797","127.0","303","1.0"
2020-04-27,"AK","345","4.0","9","0.0"
2021-04-25,"AK","64703","200.0","341","0.0"
2020-04-26,"AK","341","2.0","9","0.0"
2020-09-01,"AK","5325","35.0","52","0.0"
2020-03-25,"AK","49","7.0","1","0.0"
2022-03-23,"AK","237883","558.0","1189","20.0"
2021-09-19,"AK","97374","686.0","456","1.0"
2022-03-31,"AK","239233","0.0","1195","0.0"
2021-09-06,"AK","88143","515.0","435","0.0"
2020-09-07,"AK","5810","34.0","57","1.0"
2021-11-30,"AK","145581","183.0","850","2.0"
2022-03-07,"AK","233394","461.0","1158","0.0"
2020-06-19,"AK","729","16.0","16","0.0"
2021-02-18,"AK","55069","212.0","314","1.0"
2020-01-27,"AK","0","0.0","0","0.0"
2022-01-05,"AK","155871","1502.0","947","0.0"
2020-08-11,"AK","3837","49.0","42","0.0"
2020-03-22,"AK","25","10.0","1","0.0"
2021-07-16,"AK","69453","133.0","374","0.0"
2022-02-15,"AK","226276","0.0","1081","0.0"
2021-06-09,"AK","67763","33.0","362","0.0"
2021-10-08,"AK","116367","824.0","570","1.0"
2022-02-23,"AK","229986","1749.0","1130","22.0"
2020-05-18,"AK","401","3.0","11","0.0"
2022-01-29,"AK","205241","0.0","1052","0.0"
2020-04-23,"AK","337","2.0","9","0.0"
2020-10-20,"AK","11458","232.0","93","2.0"
2021-08-22,"AK","80181","351.0","406","0.0"
2021-03-21,"AK","59010","117.0","333","0.0"
2021-03-28,"AK","60164","199.0","338","0.0"
2021-05-25,"AK","67252","53.0","362","0.0"
2020-03-21,"AK","15","1.0","1","0.0"
2022-04-10,"AK","240674","0.0","1195","0.0"
2020-05-25,"AK","411","1.0","11","0.0"
2022-03-21,"AK","237325","360.0","1169","0.0"
2022-02-18,"AK","228237","1126.0","1108","0.0"
2020-09-27,"AK","7550","110.0","68","0.0"
2020-09-30,"AK","7891","103.0","69","1.0"
2020-07-23,"AK","2202","64.0","30","0.0"
2020-05-03,"AK","368","3.0","10","0.0"
2021-05-17,"AK","66814","45.0","358","11.0"
2020-03-02,"AK","0","0.0","0","0.0"
2020-12-19,"AK","42659","325.0","267","1.0"
2021-06-05,"AK","67664","16.0","362","0.0"
2021-10-14,"AK","121710","959.0","592","2.0"
2020-04-05,"AK","185","14.0","7","1.0"
2021-03-27,"AK","59965","199.0","338","1.0"
2021-07-11,"AK","68897","53.0","372","0.0"
2021-05-18,"AK","66867","53.0","362","4.0"
2021-06-18,"AK","67982","23.0","366","0.0"
2020-03-20,"AK","14","3.0","1","0.0"
2020-04-10,"AK","246","11.0","9","0.0"
2021-09-18,"AK","96688","686.0","455","1.0"
2021-12-31,"AK","151583","0.0","947","0.0"
2020-05-19,"AK","401","0.0","11","0.0"
2020-02-21,"AK","0","0.0","0","0.0"
2021-10-09,"AK","117278","911.0","571","1.0"
2020-06-26,"AK","839","18.0","17","1.0"
2020-10-29,"AK","14534","369.0","112","4.0"
2021-03-09,"AK","57370","90.0","329","0.0"
2021-12-07,"AK","147103","0.0","853","0.0"
2022-05-17,"AK","247865","0.0","1235","0.0"
2022-01-27,"AK","199552","0.0","1048","0.0"
2020-01-22,"AK","0","0","0","0"
2021-04-08,"AK","61969","222.0","341","1.0"
2022-01-04,"AK","154369","0.0","947","0.0"
2021-01-24,"AK","51827","164.0","307","1.0"
2020-12-24,"AK","44057","271.0","270","0.0"
2021-01-17,"AK","50522","258.0","302","2.0"
2020-08-09,"AK","3720","98.0","42","2.0"
2022-04-17,"AK","241959","0.0","1202","0.0"
2020-06-14,"AK","665","9.0","15","0.0"
2021-05-02,"AK","65587","89.0","341","0.0"
2021-10-11,"AK","119102","913.0","574","2.0"
2020-08-29,"AK","5211","93.0","52","0.0"
2021-12-27,"AK","150643","828.0","945","0.0"
2021-12-22,"AK","149815","224.0","945","4.0"
2022-05-07,"AK","246345","0.0","1220","0.0"
2021-07-10,"AK","68844","53.0","372","0.0"
2020-11-18,"AK","24634","575.0","162","2.0"
2022-03-26,"AK","238420","0.0","1189","0.0"
2020-08-19,"AK","4454","73.0","50","0.0"
2020-08-12,"AK","3898","61.0","43","1.0"
2020-06-15,"AK","668","3.0","16","1.0"
2020-04-29,"AK","355","4.0","9","0.0"
2021-01-07,"AK","47798","337.0","294","1.0"
2022-04-27,"AK","244914","1448.0","1219","4.0"
2021-03-26,"AK","59766","177.0","337","2.0"
2022-01-30,"AK","205241","0.0","1052","0.0"
2020-11-14,"AK","22231","755.0","155","7.0"
2020-04-17,"AK","309","9.0","9","0.0"
2021-12-13,"AK","148380","405.0","857","1.0"
2020-03-19,"AK","11","3.0","1","0.0"
2021-08-19,"AK","79038","631.0","404","0.0"
2020-10-02,"AK","8170","141.0","73","2.0"
2020-11-11,"AK","20388","490.0","142","6.0"
2020-05-11,"AK","381","2.0","10","0.0"
2020-07-09,"AK","1273","47.0","20","2.0"
2021-11-14,"AK","139835","0.0","801","0.0"
2020-06-16,"AK","681","13.0","16","0.0"
2021-01-09,"AK","48571","374.0","297","1.0"
2021-09-11,"AK","91418","472.0","444","0.0"
2021-04-01,"AK","60768","230.0","340","0.0"
2021-05-04,"AK","65762","84.0","342","0.0"
2021-10-06,"AK","114708","851.0","564","3.0"
2022-04-03,"AK","239750","0.0","1195","0.0"
2021-02-20,"AK","55392","136.0","318","3.0"
2021-11-20,"AK","142717","0.0","832","0.0"
2021-04-11,"AK","62488","97.0","341","0.0"
2020-02-16,"AK","0","0.0","0","0.0"
2020-10-27,"AK","13780","388.0","105","3.0"
2020-12-05,"AK","35449","885.0","229","6.0"
2020-11-17,"AK","24059","641.0","160","1.0"
2021-09-12,"AK","91890","472.0","444","0.0"
2020-03-28,"AK","91","17.0","4","1.0"
2020-02-25,"AK","0","0.0","0","0.0"
2021-08-16,"AK","77343","334.0","395","0.0"
2020-02-17,"AK","0","0.0","0","0.0"
2021-11-23,"AK","143598","144.0","834","2.0"
2022-01-15,"AK","172329","0.0","955","0.0"
2022-05-15,"AK","247865","0.0","1235","0.0"
2021-06-23,"AK","68179","34.0","367","1.0"
2020-09-02,"AK","5390","65.0","53","1.0"
2020-04-21,"AK","329","8.0","9","0.0"
2022-01-25,"AK","194176","0.0","1039","0.0"
2021-11-28,"AK","144692","0.0","847","0.0"
2021-10-29,"AK","132645","797.0","699","4.0"
2020-10-15,"AK","10383","165.0","88","0.0"
2021-10-04,"AK","113037","729.0","558","1.0"
2021-11-11,"AK","138983","0.0","801","0.0"
2020-09-06,"AK","5776","94.0","56","1.0"
2022-02-01,"AK","209564","0.0","1052","0.0"
2021-04-02,"AK","60964","196.0","340","0.0"
2021-08-27,"AK","82880","509.0","427","0.0"
2021-01-01,"AK","46241","470.0","285","4.0"
2022-02-22,"AK","228237","0.0","1108","0.0"
2022-03-14,"AK","236001","496.0","1168","0.0"
2020-01-26,"AK","0","0.0","0","0.0"
2022-02-16,"AK","227111","835.0","1108","27.0"
2020-12-26,"AK","44394","188.0","271","1.0"
2022-01-03,"AK","154369","2786.0","947","0.0"
2021-01-03,"AK","46698","168.0","289","2.0"
2021-08-25,"AK","81671","574.0","427","8.0"
2021-03-08,"AK","57280","90.0","329","1.0"
2021-03-07,"AK","57190","102.0","328","0.0"
2020-02-26,"AK","0","0.0","0","0.0"
2021-01-30,"AK","52636","129.0","308","0.0"
2020-05-23,"AK","410","4.0","11","0.0"
2021-05-09,"AK","66272","76.0","343","0.0"
2022-04-18,"AK","241959","0.0","1202","0.0"
2021-01-13,"AK","49446","294.0","298","0.0"
2021-10-20,"AK","126250","805.0","667","8.0"
2020-10-25,"AK","13042","517.0","100","3.0"
2020-02-20,"AK","0","0.0","0","0.0"
2021-06-08,"AK","67730","32.0","362","0.0"
2020-05-24,"AK","410","0.0","11","0.0"
2020-09-05,"AK","5682","87.0","55","0.0"
2021-12-04,"AK","146558","0.0","853","0.0"
2022-04-13,"AK","241959","1285.0","1202","7.0"
2021-11-17,"AK","141686","437.0","812","2.0"
2021-10-10,"AK","118189","911.0","572","1.0"
2020-07-18,"AK","1798","62.0","27","0.0"
2022-02-21,"AK","228237","0.0","1108","0.0"
2020-08-31,"AK","5290","36.0","52","0.0"
2020-07-26,"AK","2532","185.0","32","0.0"
2021-04-04,"AK","61329","132.0","340","0.0"
2020-03-30,"AK","118","8.0","6","1.0"
2021-11-21,"AK","142717","0.0","832","0.0"
2021-11-16,"AK","141249","345.0","810","7.0"
2020-11-25,"AK","28656","702.0","185","2.0"
2021-11-09,"AK","138535","374.0","792","28.0"
2021-11-27,"AK","144692","0.0","847","0.0"
2020-02-27,"AK","0","0.0","0","0.0"
2021-10-21,"AK","127250","1000.0","668","1.0"
2020-07-11,"AK","1386","63.0","21","0.0"
2021-12-26,"AK","149815","0.0","945","0.0"
2020-08-03,"AK","3333","59.0","36","0.0"
2022-01-26,"AK","199552","5376.0","1048","9.0"
2020-12-22,"AK","43424","437.0","269","0.0"
2020-05-14,"AK","389","5.0","11","1.0"
2021-10-26,"AK","130482","742.0","688","10.0"
2020-04-18,"AK","314","5.0","9","0.0"
2020-05-02,"AK","365","1.0","10","0.0"
2020-09-08,"AK","5844","34.0","58","1.0"
2020-04-03,"AK","160","11.0","6","0.0"
2021-11-06,"AK","136822","0.0","714","0.0"
2020-06-28,"AK","887","29.0","17","0.0"
2021-11-18,"AK","142203","517.0","812","0.0"
2021-02-25,"AK","55950","150.0","322","0.0"
2021-04-18,"AK","63580","141.0","341","0.0"
2021-02-04,"AK","53273","157.0","308","0.0"
2021-01-12,"AK","49152","158.0","298","0.0"
2021-06-27,"AK","68272","27.0","367","0.0"
2020-05-09,"AK","378","1.0","10","0.0"
2020-06-02,"AK","490","20.0","13","0.0"
2020-08-18,"AK","4381","66.0","50","0.0"
2021-10-17,"AK","124060","691.0","626","16.0"
2021-03-01,"AK","56398","67.0","325","2.0"
2020-11-21,"AK","26322","671.0","171","3.0"
2020-11-01,"AK","15757","359.0","116","0.0"
2020-06-20,"AK","750","21.0","16","0.0"
2022-04-21,"AK","243466","0.0","1215","0.0"
2021-09-09,"AK","90271","805.0","442","0.0"
2020-07-05,"AK","1141","27.0","18","0.0"
2020-07-10,"AK","1323","50.0","21","1.0"
2021-03-04,"AK","56823","127.0","326","0.0"
2021-05-08,"AK","66196","76.0","343","0.0"
2020-04-01,"AK","141","13.0","6","0.0"
2020-08-07,"AK","3543","55.0","40","2.0"
2022-05-08,"AK","246345","0.0","1220","0.0"
2020-01-23,"AK","0","0.0","0","0.0"
2022-04-20,"AK","243466","1507.0","1215","13.0"
2020-10-10,"AK","9464","231.0","80","1.0"
2021-10-12,"AK","119546","444.0","590","16.0"
2020-09-16,"AK","6444","50.0","59","0.0"
2020-02-09,"AK","0","0.0","0","0.0"
2020-03-05,"AK","0","0.0","0","0.0"
2021-07-29,"AK","72021","264.0","379","0.0"
2022-04-12,"AK","240674","0.0","1195","0.0"
2021-11-15,"AK","140904","1069.0","803","2.0"
2022-04-02,"AK","239750","0.0","1195","0.0"
2021-12-24,"AK","149815","0.0","945","0.0"
2022-01-09,"AK","159436","0.0","948","0.0"
2020-12-29,"AK","45033","207.0","276","2.0"
2021-04-22,"AK","64225","218.0","341","0.0"
2022-04-07,"AK","240674","0.0","1195","0.0"
2021-09-27,"AK","106976","1289.0","532","6.0"
2020-05-13,"AK","384","1.0","10","0.0"
2020-05-20,"AK","404","3.0","11","0.0"
2021-09-15,"AK","94105","1066.0","453","2.0"
2022-02-03,"AK","213606","0.0","1060","0.0"
2022-04-11,"AK","240674","0.0","1195","0.0"
2020-10-24,"AK","12525","356.0","97","0.0"
2020-07-17,"AK","1736","42.0","27","0.0"
2020-05-30,"AK","435","3.0","12","1.0"
2021-07-03,"AK","68517","39.0","370","0.0"
2020-12-10,"AK","38435","608.0","247","5.0"
2020-02-11,"AK","0","0.0","0","0.0"
2021-09-26,"AK","105687","1287.0","526","6.0"
2020-11-26,"AK","29292","636.0","189","4.0"
2021-08-13,"AK","76343","313.0","395","0.0"
2020-03-03,"AK","0","0.0","0","0.0"
2021-07-19,"AK","69891","146.0","374","0.0"
2020-11-27,"AK","30016","724.0","194","5.0"
2020-12-18,"AK","42334","487.0","266","1.0"
2021-02-26,"AK","56052","102.0","322","0.0"
2021-05-16,"AK","66769","43.0","347","0.0"
2022-05-09,"AK","246345","0.0","1220","0.0"
2020-03-01,"AK","0","0.0","0","0.0"
2020-04-14,"AK","285","8.0","9","0.0"
2020-10-18,"AK","11024","210.0","91","0.0"
2021-03-19,"AK","58708","63.0","332","0.0"
2020-10-01,"AK","8029","138.0","71","2.0"
2020-03-23,"AK","38","13.0","1","0.0"
2020-07-02,"AK","1020","38.0","18","0.0"
2020-11-06,"AK","17774","511.0","125","0.0"
2020-05-16,"AK","394","4.0","11","0.0"
2020-02-23,"AK","0","0.0","0","0.0"
2020-08-13,"AK","3979","81.0","43","0.0"
2020-02-29,"AK","0","0.0","0","0.0"
2020-03-13,"AK","1","1.0","0","0.0"
2022-03-08,"AK","233394","0.0","1158","0.0"
2020-05-21,"AK","404","0.0","11","0.0"
2020-07-14,"AK","1580","43.0","22","1.0"
2021-12-23,"AK","149815","0.0","945","0.0"
2020-08-02,"AK","3274","136.0","36","2.0"
2021-01-31,"AK","52762","126.0","308","0.0"
2021-08-28,"AK","83250","370.0","427","0.0"
2021-03-17,"AK","58493","176.0","331","0.0"
2021-08-15,"AK","77009","333.0","395","0.0"
2020-02-14,"AK","0","0.0","0","0.0"
2020-04-22,"AK","335","6.0","9","0.0"
2021-09-02,"AK","86028","670.0","435","0.0"
2021-04-05,"AK","61446","117.0","340","0.0"
2020-11-23,"AK","27350","506.0","179","6.0"
2022-05-05,"AK","246345","0.0","1220","0.0"
2020-09-13,"AK","6277","62.0","59","0.0"
2021-09-16,"AK","95132","1027.0","453","0.0"
2020-06-05,"AK","529","11.0","14","0.0"
2021-08-20,"AK","79479","441.0","406","2.0"
2020-05-27,"AK","414","1.0","11","0.0"
2022-03-13,"AK","235505","0.0","1168","0.0"
2022-04-06,"AK","240674","924.0","1195","0.0"
2021-01-29,"AK","52507","177.0","308","0.0"
2020-07-19,"AK","1881","83.0","27","0.0"
2021-08-17,"AK","77774","431.0","400","5.0"
2021-06-17,"AK","67959","23.0","366","0.0"
2020-06-12,"AK","630","14.0","15","0.0"
2020-09-12,"AK","6215","103.0","59","1.0"
2020-02-22,"AK","0","0.0","0","0.0"
2021-11-08,"AK","138161","1339.0","764","50.0"
2022-03-30,"AK","239233","813.0","1195","6.0"
2020-11-22,"AK","26844","522.0","173","2.0"
2020-03-15,"AK","1","0.0","0","0.0"
2021-07-14,"AK","69187","118.0","374","0.0"
2020-03-24,"AK","42","4.0","1","0.0"
2022-02-09,"AK","222608","2220.0","1081","21.0"
2021-04-28,"AK","65100","184.0","341","0.0"
2021-08-26,"AK","82371","700.0","427","0.0"
2022-01-10,"AK","162626","3190.0","948","0.0"
2022-03-20,"AK","236965","0.0","1169","0.0"
2020-04-04,"AK","171","11.0","6","0.0"
2021-08-14,"AK","76676","333.0","395","0.0"
2022-01-28,"AK","205241","5689.0","1052","4.0"
2022-01-17,"AK","172329","0.0","955","0.0"
2021-01-15,"AK","50069","291.0","300","1.0"
2021-04-03,"AK","61197","233.0","340","0.0"
2020-07-25,"AK","2347","88.0","32","2.0"
2020-11-19,"AK","25176","542.0","166","4.0"
2021-07-21,"AK","70328","219.0","375","1.0"
2021-09-07,"AK","88658","515.0","437","2.0"
2022-05-13,"AK","247865","0.0","1235","0.0"
2020-07-01,"AK","982","38.0","18","1.0"
2021-09-13,"AK","92363","473.0","445","1.0"
2020-07-31,"AK","2993","106.0","33","0.0"
2022-04-14,"AK","241959","0.0","1202","0.0"
2021-08-21,"AK","79830","351.0","406","0.0"
2022-03-03,"AK","232232","0.0","1158","0.0"
2021-01-16,"AK","50264","195.0","300","0.0"
2022-01-07,"AK","159436","3565.0","948","1.0"
2021-01-18,"AK","50670","148.0","302","0.0"
2020-04-30,"AK","355","0.0","9","0.0"
2021-01-11,"AK","48994","175.0","298","0.0"
2021-05-22,"AK","67137","30.0","362","0.0"
2021-10-24,"AK","128084","0.0","673","0.0"
2020-02-13,"AK","0","0.0","0","0.0"
2020-11-15,"AK","22857","626.0","158","3.0"
2021-08-11,"AK","75654","359.0","392","0.0"
2021-10-22,"AK","128084","834.0","673","5.0"
2021-03-22,"AK","59060","50.0","333","0.0"
2020-07-13,"AK","1537","59.0","21","0.0"
2020-12-23,"AK","43786","362.0","270","1.0"
2021-04-09,"AK","62212","243.0","341","0.0"
2021-05-01,"AK","65498","89.0","341","0.0"
2020-11-29,"AK","31308","639.0","204","4.0"
2021-07-12,"AK","68951","54.0","374","2.0"
2020-12-16,"AK","41487","611.0","263","1.0"
2020-10-04,"AK","8451","139.0","74","1.0"
2020-12-12,"AK","39557","525.0","254","6.0"
2021-06-13,"AK","67863","20.0","366","0.0"
2020-07-29,"AK","2803","68.0","33","0.0"
2021-04-29,"AK","65266","166.0","341","0.0"
2020-03-29,"AK","110","19.0","5","1.0"
2021-12-06,"AK","147103","545.0","853","0.0"
